County,Year,Total,Felony_Total,Drug_Felony,Violent_Felony,DWI_Felony,Other_Felony,Misdemeanor_Total,Drug_Misd,DWI_Misd,Property_Misd,Other_Misd
Columbia,1971,253,120,12,19,0,89,133,31,14,30,58
Columbia,1972,505,168,24,34,2,108,337,26,61,114,136
Columbia,1973,691,205,52,30,4,119,486,89,90,159,148
Columbia,1974,754,196,25,33,6,132,558,105,70,184,199
Columbia,1975,944,220,41,20,6,153,724,107,174,264,179
Columbia,1976,917,234,47,39,5,143,683,103,163,205,212
Columbia,1977,761,189,20,28,11,130,572,41,146,212,173
Columbia,1978,960,219,17,42,13,147,741,31,245,238,227
Columbia,1979,1137,321,29,66,17,209,816,43,279,235,259
Columbia,1980,1183,276,13,68,12,183,907,36,233,294,344
Columbia,1981,1149,264,12,57,17,178,885,16,252,264,353
Columbia,1982,1293,347,39,99,14,195,946,26,289,260,371
Columbia,1983,1390,346,37,91,20,198,1044,34,372,290,348
Columbia,1984,1363,310,45,90,29,146,1053,28,318,305,402
Columbia,1985,1358,319,21,83,16,199,1039,27,277,326,409
Columbia,1986,1228,284,29,86,16,153,944,27,256,296,365
Columbia,1987,1304,289,19,100,16,154,1015,26,272,327,390
Columbia,1988,1364,343,66,101,17,159,1021,57,258,341,365
Columbia,1989,1518,392,87,103,27,175,1126,74,327,292,433
Columbia,1990,1749,477,66,134,54,223,1272,58,343,415,456
Columbia,1991,1785,460,62,156,33,209,1325,68,284,424,549
Columbia,1992,1428,428,73,124,40,191,1000,50,225,276,449
Columbia,1993,1146,322,64,86,30,142,824,28,182,237,377
Columbia,1994,1132,331,42,98,48,143,801,42,215,220,324
Columbia,1995,1430,391,87,100,36,168,1039,72,231,262,474
Columbia,1996,1521,402,106,99,36,161,1119,77,192,350,500
Columbia,1997,1447,432,91,120,50,171,1015,78,183,277,477
Columbia,1998,1327,369,46,117,31,175,958,57,197,251,453
Columbia,1999,1372,320,44,89,36,151,1052,76,216,305,455
Columbia,2000,1341,291,59,45,47,140,1050,94,230,263,463
Columbia,2001,1373,304,48,81,54,121,1069,130,208,280,451
Columbia,2002,1233,268,49,64,36,119,965,102,168,223,472
Columbia,2003,1353,296,34,75,31,156,1057,98,276,239,444
Columbia,2004,1394,287,31,49,40,167,1107,130,313,240,424
Columbia,2005,1374,322,41,77,38,166,1052,105,233,256,458
Columbia,2006,1408,373,71,89,45,168,1035,168,196,234,437
Columbia,2007,1505,364,41,95,46,182,1141,136,273,258,474
Columbia,2008,1534,418,51,99,38,230,1116,122,240,286,468
Columbia,2009,1488,401,31,96,62,212,1087,122,265,276,424
Columbia,2010,1541,364,28,98,63,175,1177,105,344,240,488
Columbia,2011,1413,415,52,98,59,206,998,103,230,229,436
Columbia,2012,1262,361,34,96,42,189,901,116,175,235,375
Columbia,2013,1332,329,65,84,34,146,1003,172,185,282,364
Columbia,2014,1301,293,43,53,43,154,1008,166,217,252,373
Columbia,2015,1155,282,45,49,35,153,873,144,153,258,318
Columbia,2016,1085,278,33,60,32,153,807,158,155,212,282
Cortland,1970,73,48,12,4,0,32,25,12,0,1,12
Cortland,1971,225,38,5,2,2,29,187,29,58,45,55
Cortland,1972,397,106,22,16,3,65,291,58,55,92,86
Cortland,1973,507,122,39,11,0,72,385,77,43,92,173
Cortland,1974,527,138,19,12,0,107,389,79,24,122,164
Cortland,1975,731,140,30,8,0,102,591,97,129,203,162
Cortland,1976,913,135,39,8,4,84,778,91,220,211,256
Cortland,1977,768,129,11,15,0,103,639,51,178,203,207
Cortland,1978,837,150,5,28,5,112,687,27,184,247,229
Cortland,1979,1060,206,7,42,2,155,854,10,256,352,236
Cortland,1980,1282,219,20,32,10,157,1063,27,330,334,372
Cortland,1981,1202,226,19,49,7,151,976,39,312,288,337
Cortland,1982,1372,281,7,75,11,188,1091,42,415,304,330
Cortland,1983,1289,207,6,52,12,137,1082,17,403,309,353
Cortland,1984,1282,181,2,57,4,118,1101,7,445,286,363
Cortland,1985,1404,191,14,53,0,124,1213,25,477,319,392
Cortland,1986,1361,245,5,85,2,153,1116,12,310,357,437
Cortland,1987,1432,175,19,50,1,105,1257,14,308,437,498
Cortland,1988,1421,188,17,66,5,100,1233,13,359,358,503
Cortland,1989,1487,186,30,41,1,114,1301,19,365,338,579
Cortland,1990,1511,183,17,47,5,114,1328,7,392,388,541
Cortland,1991,1514,186,11,50,4,121,1328,11,396,411,510
Cortland,1992,1502,181,12,39,12,118,1321,9,409,373,530
Cortland,1993,1344,200,9,73,4,114,1144,10,345,343,446
Cortland,1994,1343,198,8,72,4,114,1145,27,316,350,452
Cortland,1995,1522,261,19,83,7,152,1261,21,293,377,570
Cortland,1996,1704,228,18,72,2,136,1476,25,285,463,703
Cortland,1997,1417,244,7,73,14,150,1173,24,250,319,580
Cortland,1998,1332,267,8,75,15,169,1065,14,245,264,542
Cortland,1999,1448,298,24,72,35,167,1150,28,328,266,528
Cortland,2000,1611,337,15,91,50,181,1274,35,280,314,645
Cortland,2001,1388,285,28,79,28,150,1103,35,267,274,527
Cortland,2002,1562,277,15,82,31,149,1285,33,334,292,626
Cortland,2003,1613,349,29,94,37,189,1264,36,298,311,619
Cortland,2004,1404,309,23,77,29,180,1095,35,246,275,539
Cortland,2005,1421,366,31,89,35,211,1055,31,242,275,507
Cortland,2006,1202,313,30,75,26,182,889,27,211,231,420
Cortland,2007,1297,317,57,43,32,185,980,24,254,272,430
Cortland,2008,1283,311,27,67,38,179,972,26,240,240,466
Cortland,2009,1359,396,41,97,32,226,963,29,264,262,408
Cortland,2010,1269,349,34,93,39,183,920,54,222,268,376
Cortland,2011,1555,414,49,103,42,220,1141,74,275,351,441
Cortland,2012,1527,404,40,84,29,251,1123,50,253,406,414
Cortland,2013,1413,371,70,52,29,220,1042,75,251,323,393
Cortland,2014,1543,449,100,93,28,228,1094,111,179,407,397
Cortland,2015,1387,384,62,71,30,221,1003,123,149,350,381
Cortland,2016,1348,420,97,78,34,211,928,123,131,353,321
Delaware,1970,151,77,7,14,2,54,74,43,0,13,18
Delaware,1971,231,69,7,7,5,50,162,66,10,30,56
Delaware,1972,417,128,26,12,2,88,289,46,33,91,119
Delaware,1973,566,140,37,23,2,78,426,131,27,112,156
Delaware,1974,591,149,23,22,5,99,442,66,39,140,197
Delaware,1975,679,185,38,20,8,119,494,53,38,190,213
Delaware,1976,537,111,22,16,4,69,426,29,32,205,160
Delaware,1977,564,183,18,22,5,138,381,24,24,180,153
Delaware,1978,621,175,24,18,7,126,446,31,43,199,173
Delaware,1979,693,171,15,20,8,128,522,24,64,255,179
Delaware,1980,736,145,10,21,10,104,591,36,104,235,216
Delaware,1981,809,165,9,39,13,104,644,17,120,284,223
Delaware,1982,842,160,8,37,7,108,682,14,180,245,243
Delaware,1983,753,180,9,41,21,109,573,19,150,187,217
Delaware,1984,885,154,13,41,13,87,731,6,234,220,271
Delaware,1985,919,159,11,29,7,112,760,11,242,271,236
Delaware,1986,949,199,5,39,12,143,750,16,210,258,266
Delaware,1987,1073,186,11,38,25,112,887,14,278,275,320
Delaware,1988,1178,198,15,41,19,123,980,20,289,296,375
Delaware,1989,1375,231,14,49,25,143,1144,11,336,326,471
Delaware,1990,1389,243,13,52,35,143,1146,15,318,325,488
Delaware,1991,1336,227,10,47,22,148,1109,19,278,302,510
Delaware,1992,1301,256,9,62,37,148,1045,8,279,296,462
Delaware,1993,1381,248,10,70,28,140,1133,9,291,298,535
Delaware,1994,1330,202,8,46,21,127,1128,4,300,332,492
Delaware,1995,1377,232,8,57,28,139,1145,22,281,304,538
Delaware,1996,1348,255,15,73,31,136,1093,17,249,293,534
Delaware,1997,1228,231,7,46,27,151,997,14,218,243,522
Delaware,1998,1120,187,10,34,30,113,933,18,196,237,482
Delaware,1999,1056,198,13,50,36,99,858,15,223,198,422
Delaware,2000,1141,220,34,55,21,110,921,23,279,164,455
Delaware,2001,1165,235,14,41,30,150,930,33,257,205,435
Delaware,2002,1228,298,28,83,35,152,930,28,244,215,443
Delaware,2003,1070,248,14,85,26,123,822,24,225,205,368
Delaware,2004,1003,232,26,46,25,135,771,18,214,180,359
Delaware,2005,1024,269,23,60,36,150,755,21,238,180,316
Delaware,2006,1074,239,22,61,26,130,835,19,251,177,388
Delaware,2007,1130,258,25,40,31,162,872,35,252,182,403
Delaware,2008,1132,299,43,55,39,162,833,37,238,210,348
Delaware,2009,1053,250,29,45,39,137,803,37,231,175,360
Delaware,2010,1045,238,24,51,36,127,807,61,185,208,353
Delaware,2011,969,240,28,72,26,114,729,67,174,174,314
Delaware,2012,1051,265,49,49,38,129,786,61,188,223,314
Delaware,2013,1053,276,65,56,27,128,777,78,151,234,314
Delaware,2014,1047,283,53,48,27,155,764,65,131,271,297
Delaware,2015,926,229,33,41,24,131,697,64,145,203,285
Delaware,2016,974,340,94,52,18,176,634,85,141,131,277
Dutchess,1970,1240,408,74,87,10,237,832,191,56,164,421
Dutchess,1971,1896,629,184,117,9,319,1267,292,126,295,554
Dutchess,1972,2199,689,144,163,11,371,1510,214,243,395,658
Dutchess,1973,2596,745,176,167,17,385,1851,354,285,504,708
Dutchess,1974,2845,979,210,198,14,557,1866,258,270,619,719
Dutchess,1975,3117,1000,137,224,18,621,2117,273,300,711,833
Dutchess,1976,3680,1114,176,271,25,642,2566,271,438,996,861
Dutchess,1977,3504,1030,102,282,47,599,2474,201,424,1014,835
Dutchess,1978,3515,878,41,219,35,583,2637,98,657,1039,843
Dutchess,1979,3891,1069,76,266,34,693,2822,84,637,1215,886
Dutchess,1980,4425,1063,56,247,42,718,3362,122,911,1330,999
Dutchess,1981,4370,1100,64,285,43,708,3270,109,1087,1260,814
Dutchess,1982,4965,1273,118,426,87,642,3692,172,1325,1177,1018
Dutchess,1983,4859,1258,69,414,114,661,3601,124,1478,1026,973
Dutchess,1984,5136,1166,80,381,118,587,3970,183,1599,1114,1074
Dutchess,1985,5076,1310,88,428,118,676,3766,158,1454,1172,982
Dutchess,1986,5119,1386,120,408,128,730,3733,201,1212,1137,1183
Dutchess,1987,5962,1426,151,404,139,732,4536,269,1465,1582,1220
Dutchess,1988,6526,1596,209,456,159,772,4930,431,1343,1691,1465
Dutchess,1989,7313,1781,406,475,192,708,5532,421,1509,1978,1624
Dutchess,1990,7008,1757,296,465,215,781,5251,295,1474,1814,1668
Dutchess,1991,7020,1782,341,468,225,748,5238,257,1402,1826,1753
Dutchess,1992,6862,1764,329,449,202,784,5098,213,1382,1741,1762
Dutchess,1993,6476,1725,359,414,199,753,4751,253,1308,1525,1665
Dutchess,1994,6498,1613,376,330,179,728,4885,299,1325,1569,1692
Dutchess,1995,5848,1572,373,360,168,671,4276,225,941,1434,1676
Dutchess,1996,6097,1556,352,359,167,678,4541,283,922,1543,1793
Dutchess,1997,5708,1520,281,354,124,761,4188,233,877,1331,1747
Dutchess,1998,5646,1517,228,319,137,833,4129,264,865,1316,1684
Dutchess,1999,5310,1356,236,307,134,679,3954,293,954,1205,1502
Dutchess,2000,5385,1381,258,273,150,700,4004,245,1084,1151,1524
Dutchess,2001,5791,1488,218,318,153,799,4303,231,1156,1170,1746
Dutchess,2002,5574,1542,235,313,152,842,4032,267,1069,1018,1678
Dutchess,2003,5523,1494,236,359,146,753,4029,261,1195,1051,1522
Dutchess,2004,5723,1559,232,328,164,835,4164,318,1241,1069,1536
Dutchess,2005,5726,1621,263,365,196,797,4105,289,1252,1027,1537
Dutchess,2006,5653,1589,231,375,178,805,4064,353,1305,947,1459
Dutchess,2007,5728,1498,166,306,208,818,4230,306,1448,1074,1402
Dutchess,2008,5956,1665,173,368,227,897,4291,335,1407,1188,1361
Dutchess,2009,5995,1582,178,377,191,836,4413,357,1258,1330,1468
Dutchess,2010,5997,1765,200,434,243,888,4232,432,1264,1194,1342
Dutchess,2011,5707,1543,206,331,179,827,4164,484,1084,1163,1433
Dutchess,2012,5762,1611,226,364,152,869,4151,503,985,1213,1450
Dutchess,2013,5395,1513,193,355,158,807,3882,487,918,1195,1282
Dutchess,2014,5168,1508,208,293,153,854,3660,564,942,1048,1106
Dutchess,2015,4909,1474,184,325,149,816,3435,461,914,1030,1030
Dutchess,2016,5069,1516,240,257,167,852,3553,568,954,1004,1027
Erie,1970,6965,3135,520,988,20,1607,3830,1128,711,1014,977
Erie,1971,8984,3480,543,1112,17,1808,5504,1229,986,1730,1559
Erie,1972,13295,4006,790,1275,24,1917,9289,1775,1567,2950,2997
Erie,1973,13918,4146,795,1312,27,2012,9772,1586,1694,2943,3549
Erie,1974,15055,5043,1327,1277,37,2402,10012,1528,1436,3441,3607
Erie,1975,15784,5328,1145,1652,56,2475,10456,1425,1659,3754,3618
Erie,1976,17363,4996,875,1568,101,2452,12367,1491,2752,4268,3856
Erie,1977,14729,4612,426,1440,153,2593,10117,785,2000,4021,3311
Erie,1978,18583,5268,384,1656,125,3103,13315,790,2931,4937,4657
Erie,1979,19090,5287,271,1903,153,2960,13803,684,2521,5573,5025
Erie,1980,17821,5033,283,1713,126,2911,12788,713,2465,5295,4315
Erie,1981,18430,5320,313,1772,144,3091,13110,614,2547,5765,4184
Erie,1982,20792,5686,400,2080,174,3032,15106,827,4268,5507,4504
Erie,1983,19980,5026,274,2009,238,2505,14954,934,4412,5110,4498
Erie,1984,20614,5206,282,2115,247,2562,15408,967,4382,5229,4830
Erie,1985,20451,5263,346,2061,282,2574,15188,1164,3620,5371,5033
Erie,1986,21803,5518,387,2153,322,2656,16285,1211,3555,5991,5528
Erie,1987,23387,5929,505,2208,328,2888,17458,1534,3284,6613,6027
Erie,1988,22972,5659,558,2176,312,2613,17313,1333,3468,6208,6304
Erie,1989,24751,6415,882,2514,315,2704,18336,1476,3489,6519,6852
Erie,1990,27398,7250,955,2852,314,3129,20148,1767,3813,7292,7276
Erie,1991,26716,7380,1077,2781,310,3212,19336,1965,3341,7453,6577
Erie,1992,26285,7890,1625,2763,292,3210,18395,2406,3052,7092,5845
Erie,1993,26572,8133,1774,2706,260,3393,18439,2891,2937,6688,5923
Erie,1994,26778,8237,1779,2853,297,3308,18541,2648,3000,6829,6064
Erie,1995,27768,8491,1710,2928,332,3521,19277,2690,2821,6775,6991
Erie,1996,28699,8823,1840,2982,294,3707,19876,3199,2580,6581,7516
Erie,1997,30231,9254,1875,3072,353,3954,20977,3631,2604,6562,8180
Erie,1998,28521,8702,1690,2804,311,3897,19819,2853,2581,6130,8255
Erie,1999,27611,8344,1541,2598,294,3911,19267,2941,2592,5541,8193
Erie,2000,26870,8244,1277,2543,336,4088,18626,2495,2739,5417,7975
Erie,2001,25800,8122,1386,2533,391,3812,17678,2428,2636,5172,7442
Erie,2002,25944,8305,1505,2584,423,3793,17639,2433,2581,5295,7330
Erie,2003,26291,7997,1229,2499,505,3764,18294,2593,2674,5715,7312
Erie,2004,25691,7837,1230,2481,420,3706,17854,2655,2738,5290,7171
Erie,2005,25861,7899,1280,2534,440,3645,17962,2842,2780,5432,6908
Erie,2006,27512,8532,1577,2704,542,3709,18980,3651,2782,5337,7210
Erie,2007,27065,8579,1930,2427,490,3732,18486,3565,2558,5482,6881
Erie,2008,27864,8671,1733,2531,504,3903,19193,3850,2781,5624,6938
Erie,2009,27843,8617,1496,2594,457,4070,19226,3492,2768,5698,7268
Erie,2010,27299,8488,1424,2544,576,3944,18811,3488,2513,5869,6941
Erie,2011,27257,8426,1313,2479,522,4112,18831,3326,2483,6258,6764
Erie,2012,27531,8152,1184,2305,507,4156,19379,3635,2361,6414,6969
Erie,2013,27875,7725,1079,2214,447,3985,20150,4016,2398,6427,7309
Erie,2014,25820,7447,994,2207,385,3861,18373,3791,2301,5969,6312
Erie,2015,23185,6832,884,2095,324,3529,16353,3478,1978,5204,5693
Erie,2016,22516,6821,1013,2055,270,3483,15695,3161,1957,5270,5307
Essex,1970,176,102,19,15,2,66,74,46,0,8,20
Essex,1971,307,122,34,9,6,73,185,57,45,51,32
Essex,1972,479,122,18,17,5,82,357,30,148,82,97
Essex,1973,535,137,32,16,7,82,398,63,167,89,79
Essex,1974,661,167,38,28,4,97,494,89,190,126,89
Essex,1975,905,191,34,31,8,118,714,156,281,147,130
Essex,1976,875,234,65,31,7,131,641,168,228,117,128
Essex,1977,767,185,30,20,11,124,582,121,131,163,167
Essex,1978,700,170,16,25,10,119,530,26,150,153,201
Essex,1979,761,233,8,25,25,175,528,50,96,217,165
Essex,1980,921,223,7,29,23,164,698,44,237,244,173
Essex,1981,913,223,6,64,14,139,690,47,228,205,210
Essex,1982,928,210,10,75,24,101,718,23,261,191,243
Essex,1983,689,170,4,30,14,122,519,13,175,170,161
Essex,1984,755,170,2,48,17,103,585,8,241,174,162
Essex,1985,709,129,3,25,19,82,580,8,273,153,146
Essex,1986,828,210,3,33,22,152,618,18,266,178,156
Essex,1987,639,138,4,33,17,84,501,15,251,120,115
Essex,1988,685,157,10,46,17,84,528,19,257,128,124
Essex,1989,688,153,8,34,20,91,535,12,238,144,141
Essex,1990,775,207,20,38,20,129,568,19,242,151,156
Essex,1991,703,185,9,40,15,121,518,5,247,138,128
Essex,1992,712,172,6,37,23,106,540,5,218,136,181
Essex,1993,688,168,9,47,23,89,520,11,196,113,200
Essex,1994,704,188,11,59,15,103,516,10,194,130,182
Essex,1995,796,160,10,45,21,84,636,10,213,154,259
Essex,1996,820,221,4,57,22,138,599,8,169,136,286
Essex,1997,735,187,19,40,19,109,548,8,159,122,259
Essex,1998,766,193,12,44,24,113,573,9,196,100,268
Essex,1999,779,201,18,55,23,105,578,14,200,103,261
Essex,2000,827,216,18,55,24,119,611,12,194,137,268
Essex,2001,700,187,8,43,22,114,513,12,190,109,202
Essex,2002,916,232,20,40,26,146,684,19,270,121,274
Essex,2003,961,214,29,33,26,126,747,27,292,133,295
Essex,2004,995,255,49,42,24,140,740,44,267,125,304
Essex,2005,902,207,23,30,29,125,695,27,274,125,269
Essex,2006,1142,283,60,32,32,159,859,63,367,128,301
Essex,2007,1012,236,26,36,41,133,776,44,276,136,320
Essex,2008,971,232,24,42,47,119,739,27,240,119,353
Essex,2009,827,218,30,39,31,118,609,27,177,129,276
Essex,2010,891,232,37,39,25,131,659,36,207,150,266
Essex,2011,764,228,40,45,25,118,536,36,153,165,182
Essex,2012,719,229,21,60,21,127,490,28,108,148,206
Essex,2013,724,218,28,46,24,120,506,41,129,119,217
Essex,2014,699,246,62,42,22,120,453,46,110,93,204
Essex,2015,635,193,36,27,18,112,442,46,133,86,177
Essex,2016,717,208,40,30,21,117,509,62,147,96,204
Franklin,1970,123,90,17,8,1,64,33,16,0,3,14
Franklin,1971,289,128,41,14,7,66,161,32,44,48,37
Franklin,1972,666,113,19,17,10,67,553,44,202,127,180
Franklin,1973,721,144,28,17,7,92,577,92,169,132,184
Franklin,1974,893,201,38,26,8,129,692,140,144,188,220
Franklin,1975,939,199,46,37,11,105,740,129,127,221,263
Franklin,1976,902,184,35,19,5,125,718,124,107,218,269
Franklin,1977,889,165,14,25,5,121,724,68,136,231,289
Franklin,1978,968,198,11,24,32,131,770,41,180,258,291
Franklin,1979,910,211,6,44,26,135,699,26,195,229,249
Franklin,1980,1028,182,0,32,8,142,846,25,274,289,258
Franklin,1981,1129,199,10,40,14,135,930,40,354,299,237
Franklin,1982,898,160,10,35,17,98,738,27,225,236,250
Franklin,1983,853,175,12,38,21,104,678,17,206,234,221
Franklin,1984,899,148,10,44,11,83,751,18,250,228,255
Franklin,1985,888,154,16,35,12,91,734,19,251,206,258
Franklin,1986,1030,152,13,40,18,81,878,33,358,239,248
Franklin,1987,1038,186,13,49,18,106,852,50,330,204,268
Franklin,1988,1039,197,10,48,33,106,842,47,348,166,281
Franklin,1989,1204,222,8,58,28,128,982,85,382,227,288
Franklin,1990,1401,293,26,81,49,137,1108,42,477,231,358
Franklin,1991,1288,298,13,54,53,178,990,31,364,262,333
Franklin,1992,1254,237,16,48,37,136,1017,10,435,217,355
Franklin,1993,1264,255,16,61,55,123,1009,14,350,241,404
Franklin,1994,1202,248,7,65,29,147,954,13,276,241,424
Franklin,1995,1233,301,15,71,29,186,932,17,242,299,374
Franklin,1996,1225,278,17,68,30,163,947,25,237,252,433
Franklin,1997,1198,304,41,54,45,164,894,29,239,214,412
Franklin,1998,1217,317,55,53,39,170,900,22,278,211,389
Franklin,1999,1398,287,32,59,38,158,1111,15,338,219,539
Franklin,2000,1260,280,30,57,43,150,980,21,287,210,462
Franklin,2001,1195,315,33,69,22,191,880,21,236,211,412
Franklin,2002,1292,366,53,87,37,189,926,40,230,201,455
Franklin,2003,1305,374,79,74,30,191,931,36,231,214,450
Franklin,2004,1417,412,96,60,30,226,1005,40,240,223,502
Franklin,2005,1246,363,44,82,31,206,883,25,211,211,436
Franklin,2006,1309,376,53,61,47,215,933,37,237,193,466
Franklin,2007,1290,357,85,49,33,190,933,45,240,212,436
Franklin,2008,1375,397,84,56,39,218,978,59,251,247,421
Franklin,2009,1342,381,75,66,42,198,961,51,233,216,461
Franklin,2010,1325,384,78,71,43,192,941,52,221,217,451
Franklin,2011,1372,384,68,49,38,229,988,64,234,242,448
Franklin,2012,1472,436,90,82,34,230,1036,49,240,256,491
Franklin,2013,1329,399,77,74,40,208,930,41,210,286,393
Franklin,2014,1310,394,116,55,30,193,916,83,200,271,362
Franklin,2015,1162,335,57,52,35,191,827,50,192,253,332
Franklin,2016,1210,365,100,49,29,187,845,83,167,256,339
Fulton,1970,109,82,4,14,3,61,27,3,0,7,17
Fulton,1971,150,97,25,16,1,55,53,12,6,9,26
Fulton,1972,290,99,7,20,1,71,191,12,27,88,64
Fulton,1973,357,94,10,13,5,66,263,17,24,144,78
Fulton,1974,511,173,40,20,6,107,338,56,62,137,83
Fulton,1975,620,152,23,30,4,95,468,52,83,191,142
Fulton,1976,556,132,14,22,5,91,424,47,89,160,128
Fulton,1977,503,120,10,16,13,81,383,22,106,138,117
Fulton,1978,588,139,10,27,8,94,449,16,123,187,123
Fulton,1979,644,179,7,46,5,121,465,9,132,183,141
Fulton,1980,621,130,3,23,11,93,491,4,148,198,141
Fulton,1981,677,162,12,31,4,115,515,10,137,206,162
Fulton,1982,630,182,11,44,19,108,448,7,118,159,164
Fulton,1983,653,150,6,42,13,89,503,4,150,201,148
Fulton,1984,865,221,50,59,13,99,644,7,182,285,170
Fulton,1985,774,190,3,43,19,125,584,7,191,205,181
Fulton,1986,766,146,14,33,9,90,620,14,184,204,218
Fulton,1987,890,184,27,39,9,109,706,11,225,268,202
Fulton,1988,855,165,12,35,11,107,690,6,245,219,220
Fulton,1989,1000,183,13,47,7,116,817,0,267,289,261
Fulton,1990,987,205,5,48,25,127,782,6,276,236,264
Fulton,1991,1245,235,9,59,34,133,1010,13,267,365,365
Fulton,1992,1263,245,10,69,18,148,1018,12,312,327,367
Fulton,1993,1220,219,11,65,27,116,1001,18,272,344,367
Fulton,1994,1335,276,8,65,27,176,1059,12,225,400,422
Fulton,1995,1521,289,43,56,32,158,1232,14,265,406,547
Fulton,1996,1617,329,26,79,37,187,1288,17,273,403,595
Fulton,1997,1512,266,23,64,24,155,1246,20,241,404,581
Fulton,1998,1475,285,26,67,34,158,1190,36,297,317,540
Fulton,1999,1608,337,47,64,50,176,1271,26,362,294,589
Fulton,2000,1577,315,22,60,45,188,1262,14,452,288,508
Fulton,2001,1453,285,7,48,49,181,1168,13,373,259,523
Fulton,2002,1550,302,39,42,30,191,1248,41,321,293,593
Fulton,2003,1557,299,20,67,37,175,1258,28,337,279,614
Fulton,2004,1697,303,22,57,46,178,1394,32,347,311,704
Fulton,2005,1607,400,64,67,48,221,1207,35,327,257,588
Fulton,2006,1312,353,37,43,54,219,959,24,269,240,426
Fulton,2007,1275,303,40,70,33,160,972,33,282,244,413
Fulton,2008,1299,356,46,55,32,223,943,35,244,244,420
Fulton,2009,1374,349,43,66,34,206,1025,29,282,290,424
Fulton,2010,1284,390,43,85,44,218,894,36,221,267,370
Fulton,2011,1148,313,30,45,50,188,835,60,179,271,325
Fulton,2012,1253,363,24,69,51,219,890,41,203,264,382
Fulton,2013,1270,371,46,66,36,223,899,54,187,343,315
Fulton,2014,1287,355,27,87,40,201,932,66,189,340,337
Fulton,2015,1269,397,43,69,33,252,872,60,186,297,329
Fulton,2016,1108,361,54,71,26,210,747,59,153,243,292
Genesee,1970,131,87,11,15,6,55,44,21,1,6,16
Genesee,1971,361,107,22,18,5,62,254,64,36,83,71
Genesee,1972,681,181,64,29,6,82,500,110,106,117,167
Genesee,1973,823,188,86,30,3,69,635,216,99,139,181
Genesee,1974,613,135,38,18,11,68,478,95,123,111,149
Genesee,1975,614,180,47,38,4,91,434,104,58,119,153
Genesee,1976,658,170,25,32,9,104,488,95,43,189,161
Genesee,1977,560,157,9,34,10,104,403,42,40,156,165
Genesee,1978,577,158,8,21,18,111,419,10,29,176,204
Genesee,1979,615,198,10,25,23,140,417,17,44,176,180
Genesee,1980,761,200,5,41,22,132,561,9,91,219,242
Genesee,1981,1033,187,4,36,24,123,846,11,318,233,284
Genesee,1982,1576,254,27,57,54,116,1322,55,737,252,278
Genesee,1983,1127,189,8,35,34,112,938,9,492,196,241
Genesee,1984,964,174,19,48,17,90,790,6,428,183,173
Genesee,1985,1040,196,1,51,20,124,844,18,359,225,242
Genesee,1986,1141,230,14,63,38,115,911,14,375,237,285
Genesee,1987,1060,176,5,47,56,68,884,8,334,296,246
Genesee,1988,1108,217,15,30,46,126,891,23,342,282,244
Genesee,1989,1289,306,35,57,45,169,983,34,364,321,264
Genesee,1990,1328,266,32,47,48,139,1062,28,329,309,396
Genesee,1991,1284,257,35,57,46,119,1027,26,334,327,340
Genesee,1992,1369,287,39,62,40,146,1082,18,283,383,398
Genesee,1993,1317,265,19,61,44,141,1052,27,290,313,422
Genesee,1994,1373,264,19,74,59,112,1109,21,321,320,447
Genesee,1995,1486,326,27,85,60,154,1160,30,350,386,394
Genesee,1996,1537,343,26,81,75,161,1194,34,288,355,517
Genesee,1997,1493,376,35,62,65,214,1117,27,322,335,433
Genesee,1998,1446,365,32,65,59,209,1081,26,324,276,455
Genesee,1999,1327,387,27,88,59,213,940,30,274,242,394
Genesee,2000,1396,315,25,82,49,159,1081,51,332,272,426
Genesee,2001,1390,375,26,85,60,204,1015,61,293,278,383
Genesee,2002,1306,351,26,70,52,203,955,32,284,199,440
Genesee,2003,1240,324,28,78,47,171,916,51,300,206,359
Genesee,2004,1409,377,39,79,57,202,1032,75,362,202,393
Genesee,2005,1401,354,41,67,70,176,1047,59,318,267,403
Genesee,2006,1459,391,38,78,85,190,1068,76,352,246,394
Genesee,2007,1349,371,39,63,70,199,978,58,304,260,356
Genesee,2008,1455,397,25,90,66,216,1058,75,318,300,365
Genesee,2009,1619,441,51,86,70,234,1178,68,373,349,388
Genesee,2010,1429,326,33,57,56,180,1103,82,308,315,398
Genesee,2011,1473,427,61,73,55,238,1046,81,263,332,370
Genesee,2012,1443,392,30,87,52,223,1051,85,203,359,404
Genesee,2013,1446,415,28,105,60,222,1031,79,206,387,359
Genesee,2014,1271,371,32,63,43,233,900,74,200,318,308
Genesee,2015,1476,421,49,81,35,256,1055,118,213,352,372
Genesee,2016,1311,439,58,67,30,284,872,98,186,297,291
Greene,1970,184,96,14,13,0,69,88,45,0,9,34
Greene,1971,217,125,28,19,4,74,92,59,1,14,18
Greene,1972,397,131,33,22,2,74,266,70,35,84,77
Greene,1973,542,134,27,14,0,93,408,81,123,88,116
Greene,1974,615,216,46,30,1,139,399,69,112,84,134
Greene,1975,681,196,24,19,11,142,485,109,127,117,132
Greene,1976,726,189,25,37,9,118,537,64,180,127,166
Greene,1977,696,218,17,47,6,148,478,56,171,122,129
Greene,1978,739,177,2,33,7,135,562,12,212,185,153
Greene,1979,758,198,3,42,9,144,560,17,172,208,163
Greene,1980,652,168,4,44,8,112,484,11,141,177,155
